2021/01/17 01:40:51 [notice] 9340#1696: signal process started
2021/01/17 01:41:38 [error] 9372#2148: *1 CreateFile() "D:\Projects\BE Project\main-backend\nginx-1.18.0/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/01/17 01:43:33 [notice] 7224#4680: signal process started
2021/01/17 01:43:40 [error] 10720#6032: *6 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "127.0.0.1:8001", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 01:44:50 [error] 10720#6032: *11 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "127.0.0.1:8001", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 01:46:07 [notice] 3452#6836: signal process started
2021/01/17 12:38:04 [notice] 16280#15472: signal process started
2021/01/17 12:38:04 [error] 16280#15472: OpenEvent("Global\ngx_reload_7604") failed (2: The system cannot find the file specified)
2021/01/17 12:38:33 [error] 2512#5608: *3 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "127.0.0.1:8001", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:38:33 [error] 2512#5608: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "127.0.0.1:8000", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:38:33 [error] 2512#5608: *1 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:38:35 [error] 2512#5608: *3 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "127.0.0.1:8000", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:38:35 [error] 2512#5608: *6 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:38:36 [error] 2512#5608: *7 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:38:36 [error] 2512#5608: *8 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:38:36 [error] 2512#5608: *9 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:38:41 [error] 2512#5608: *10 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:38:41 [error] 2512#5608: *11 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:38:41 [error] 2512#5608: *12 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:38:45 [notice] 8904#3944: signal process started
2021/01/17 12:38:58 [error] 15092#13248: *15 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "127.0.0.1:8001", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:38:58 [error] 15092#13248: *13 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "127.0.0.1:8000", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:38:58 [error] 15092#13248: *13 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:00 [error] 15092#13248: *15 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "127.0.0.1:8000", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:00 [error] 15092#13248: *18 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:01 [error] 15092#13248: *19 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:01 [error] 15092#13248: *20 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:01 [error] 15092#13248: *21 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:06 [error] 15092#13248: *22 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:06 [error] 15092#13248: *23 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:06 [error] 15092#13248: *24 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:13 [error] 15092#13248: *25 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "127.0.0.1:8000", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:13 [error] 15092#13248: *25 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:13 [error] 15092#13248: *27 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "127.0.0.1:8001", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:13 [error] 15092#13248: *27 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
2021/01/17 12:39:13 [error] 15092#13248: *29 no live upstreams while connecting to upstream, client: 127.0.0.1, server: 0.0.0.0:8080, upstream: "allbackend", bytes from/to client:0/0, bytes from/to upstream:0/0
